Company name,Project,Description,Task list,Task list description,Milestone,ID,Status,Task name,Task description,Start date,Due date,Assigned to,Created by,Date created,Progress,Priority,Private,Time estimate,Billable minutes,Non-billable minutes,Tags,Parent task ID,Priority text,Completed date,Completed by,Workflow Stages
Andes Petroleum Company,Andes - Migración a 9.2,,Soporte CNC,,,42106353,new,[EJEMPLO SINTÉTICO] Ajustes generales JDE 9.2,Fila agregada a mano para el fixture: no existe en el export real; permite probar el caso 'padre incluido en el lote' (FR-006/FR-007).,2026-08-01 00:00:00,2026-08-31 00:00:00,Jairo Jimenez,Ferdy Rentería Moreno,2026-07-30 09:00:00,0,,,60,0,0,,,,,,
Andes Petroleum Company,Andes - Migración a 9.2,,Soporte CNC,,,43340224,new,EN001 - Ajustar en las aplicaciones la visualización de registro de las cuadrículas,*La solicitud del Andes Petroleum es la siguiente:*  *Comparación entre 9.1 y 9.2 luego de find en 9.1 el parámetro de despliegue de registros está en 199 mientras que en 9.2 el pa…,2026-08-03 00:00:00,2026-08-03 00:00:00,Jairo Jimenez,Ferdy Rentería Moreno,2026-07-31 09:35:21,0,,0,0,0,0,,42106353,,,,
Aris,SOPORTE ARIS,,Servicios Correctivos,,,43266714,new,IN-TI-12287 RV: ERROR EN EL SISTEMA,,2026-07-23 00:00:00,2026-08-06 00:00:00,Jairo Jimenez,Yeimi Yineth Fernandez Vargas,2026-07-23 10:04:10,0,,0,120,0,0,SR Oracle,43266697,,,,
Andes Petroleum Company,Andes - Migración a 9.2,,Fase de Pruebas,,,41972833,new,Seguimientos,,2026-08-03 00:00:00,2026-08-31 00:00:00,Jairo Jimenez,Ferdy Rentería Moreno,2026-01-27 15:31:36,40,,0,0,180,0,,,,,,
Cargill,Cargill - Soporte,,Infraestructura,,,42846282,reopened,(#42846282) Error archivos para encriptar,"Buenas tardes,    Reporto error en el proceso de encriptación de archivos planos para bancos.  ![image.png](https://s3.amazonaws.com/tw-inlineimages/60777/0/0/64f6523062904fd09675c…",2026-05-29 00:00:00,2026-08-31 00:00:00,Jairo Jimenez,Paola Velasco,2026-05-23 13:48:00,90,100,0,0,300,0,,42846101,Medium,,,Done
Congrupo,Congrupo Soporte,,Soporte,,,43012023,new,Revision Automatización CXP,,2026-06-12 00:00:00,2026-08-31 00:00:00,Jairo Jimenez,Liliana Diaz Coral,2026-06-16 17:10:23,0,,0,0,120,0,,42991269,,,,Done
Consorcio Shushufindi S.A.,Consorcio Shushufindi_Soporte,"Quito - Ecuador

Av. 12 de Octubre  N24-593 y Francisco Salazar 
Edificio Expocentury, 1er. Piso
Quito, Ecuador",soporte,,,43294455,new,DBA - 43294447 Actualización de Sistema Operativo y Migración de BD,,2026-07-24 00:00:00,2026-08-31 00:00:00,DBA Sywork,Andres Felipe Hernandez Carmona,2026-07-24 16:52:15,0,,0,0,0,0,,43294447,,,,
Aris,SOPORTE ARIS,,Servicios Adaptativos,,,43220227,new,RV: Autenticación Multifactor (MFA) para entornos de Fusion Applications,,2026-07-10 00:00:00,2026-08-06 00:00:00,Jairo Jimenez,Yeimi Yineth Fernandez Vargas,2026-07-16 09:01:29,90,,0,0,60,0,,43220224,,,,Done
